id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35863484,"Blueground | Lower Nob Hill, w/d & roofdeck",107434423,Blueground,,Downtown/Civic Center,37.78753,-122.421312,Entire home/apt,204,31,0,,,173,305,0,
35916856,#F15 Full private room in NobHill @hacknsleep,267895362,Rocky,,Nob Hill,37.79335,-122.42031,Private room,50,365,2,2019-09-04,0.03,50,365,0,
35917031,#T15 Twin private room in NobHill @ hacknsleep,267895362,Rocky,,Nob Hill,37.7924,-122.42006,Private room,47,365,0,,,50,365,0,
35917078,#T15 Twin private room in NobHill @ hacknsleep,267895362,Rocky,,Nob Hill,37.79383,-122.42232,Private room,47,365,0,,,50,365,0,
35917405,"1226 - Private Basement Unit, near Ocean & GG Park",269663896,Winnie,,Outer Sunset,37.7536,-122.47797,Entire home/apt,148,2,290,2024-08-25,4.60,1,128,58,STR-0003923
35938695,Sunny Dolores Heights! Work- and Family-Ready.,270319103,Mary,,Noe Valley,37.75532,-122.42618,Entire home/apt,175,30,13,2024-07-23,0.21,1,343,1,
35972743,Charming Sun Room with A View,239020025,Lynn,,Mission,37.75363,-122.40466,Private room,65,30,0,,,2,214,0,
36001435,Immaculate Bedroom in A Modern Flat,265485766,Sheng,,Mission,37.75378,-122.40657,Private room,79,30,43,2023-11-17,0.68,4,153,2,STR-0004005
36002932,"Hotel Vertigo, Deluxe Double Double",269577587,Hotel Vertigo,,Nob Hill,37.79203,-122.42024,Private room,,1,6,2020-03-30,0.11,2,365,0,Exempt
36024356,"Blueground | Rincon Hill, a/c & gym, nr Bay Bridge",107434423,Blueground,,South of Market,37.787258,-122.392715,Entire home/apt,304,31,1,2022-01-08,0.03,173,340,0,
36036473,#F15 Full private room in NobHill @ hacknsleep,267895362,Rocky,,Nob Hill,37.79407,-122.42024,Private room,50,365,1,2019-08-16,0.02,50,365,0,
36067613,Central Mission District Jr. one bed (entire apt),21337159,Sherese,,Mission,37.76047,-122.42013,Entire home/apt,,30,4,2022-10-11,0.10,1,332,0,
36082731,"Basic, clean and simple home in the fog!",271446479,Betty,,Twin Peaks,37.74725,-122.44602,Entire home/apt,236,2,108,2024-08-25,1.74,1,260,21,STR-0004506
36083245,Light and Art filled home with views of the bay.,2360400,Richard,,Bernal Heights,37.73777,-122.41019,Entire home/apt,,30,0,,,1,0,0,
36104628,Spacious and modern garden home with city views,16138718,Michael,,Western Addition,37.78010101354426,-122.44458684984299,Entire home/apt,328,2,78,2024-09-01,4.85,1,29,62,2023-006986STR
36116529,Union Square Location - Great Hotel Style Suite,70722023,Michael,,Downtown/Civic Center,37.77784,-122.42057,Entire home/apt,,2,2,2022-09-23,0.03,74,0,0,License not needed per OSTR
36136157,"Rare San Francisco Landmark Stay_Private, w/pkg!",271698124,Dan,,Bayview,37.73064,-122.38995,Entire home/apt,179,3,24,2024-08-21,0.63,2,251,6,2023-011361STR
36153778,#F15 Full private room in NobHill @ hacknsleep,267895362,Rocky,,Nob Hill,37.79135,-122.41929,Private room,50,365,0,,,50,365,0,
36179298,1bd Garden Apt Gem in the Inner Sunset - remodeled,4203404,Linda,,Inner Sunset,37.76379,-122.46172,Entire home/apt,113,30,39,2024-07-14,0.63,2,292,5,City registration pending
36184844,28th ave room 2,45553959,Doug,,Outer Richmond,37.7827,-122.48739,Private room,59,365,6,2022-09-01,0.10,1,365,0,
36301897,Luxury 1BR + den in downtown. Walk everywhere.,8662511,Bhawana,,South of Market,37.77318,-122.41065,Entire home/apt,,30,0,,,1,0,0,
36313431,Sunny clean studio,53358593,Tatyana,,Outer Sunset,37.7613229,-122.4965406,Private room,139,1,40,2024-08-21,1.68,1,330,20,2022-008626STR
36315852,A Little City Without the Nitty Gritty-Stay Safe!,237620221,Cranson,,Outer Richmond,37.77623,-122.50623,Entire home/apt,175,3,117,2024-08-27,1.91,1,255,30,2024-001830STR
36318212,Cozy  Sun Room Retreat,265485766,Sheng,,Mission,37.75346,-122.40611,Private room,80,30,49,2023-10-07,0.78,4,153,1,STR-0004005
36333608,"Blueground | SoMa, gym & patio, nr tech companies",107434423,Blueground,,South of Market,37.77368,-122.40925,Entire home/apt,202,31,0,,,173,284,0,
36342436,"Blueground | Rincon Hill, gym, nr Silicon Valley",107434423,Blueground,,South of Market,37.787258,-122.392715,Entire home/apt,211,31,1,2022-05-31,0.04,173,187,0,
36353842,Family Friendly Glen Park / Bernal Home,1485240,Richard,,Glen Park,37.73697,-122.42716,Entire home/apt,,4,8,2022-08-05,0.13,1,0,0,2022-004492STR
36420256,Deluxe Queen Street Level,160591574,Monte,,Western Addition,37.78611373901367,-122.4463882446289,Hotel room,,1,2,2019-09-06,0.03,5,351,0,Exempt
36420593,Street Level Tiny Room,160591574,Monte,,Western Addition,37.78713,-122.44528,Hotel room,245,1,2,2024-06-13,0.04,5,337,1,Exempt
36421114,Upstairs Corner Junior Suite,160591574,Monte,,Western Addition,37.78611373901367,-122.4463882446289,Hotel room,,1,2,2021-02-15,0.04,5,341,0,Exempt
36447750,Heart of Hayes Valley Flat,20153147,Dan,,Western Addition,37.7757,-122.4275,Entire home/apt,136,30,13,2024-05-01,0.24,2,361,1,
36476134,#F43: Private room in Lower Haight @hacknsleep,267895362,Rocky,,Western Addition,37.77113,-122.42503,Private room,50,365,0,,,50,365,0,
36519291,Retreat to Modern Suite in The Castro with Garden,37199244,Eza,,Castro/Upper Market,37.76178,-122.44268,Entire home/apt,99,1,314,2024-08-24,5.21,1,117,90,2024-001362STR
36527512,Spacious Mission Studio with Character & Charm,4430421,Landmark,,Mission,37.76386,-122.41716,Entire home/apt,,30,1,2023-07-02,0.07,140,117,0,
36555022,Very Good Union Square Location-Hotel Style Studio,70722023,Michael,,Downtown/Civic Center,37.77903,-122.42244,Entire home/apt,,2,0,,,74,0,0,License not needed per OSTR
36565301,Nice Condo near SF Water Front,8699695,Ning,,North Beach,37.80408,-122.40525,Entire home/apt,128,30,7,2024-03-16,0.12,6,170,3,
36566892,The Suites at Fisherman's Wharf One-Bedroom Suite,266083019,Extra Holidays®,,Russian Hill,37.80549999999999,-122.4205787,Private room,270,1,1,2023-09-01,0.08,9,47,0,0439835
36589481,WorldMark San Francisco One-Bedroom Suite,266083019,Extra Holidays®,,Chinatown,37.7905509,-122.4069285,Private room,207,2,0,,,9,31,0,0438187
36601074,One of a Kind San Francisco Queen Anne Victorian!,275116582,Parker,,Haight Ashbury,37.77408,-122.44232,Entire home/apt,155,30,52,2024-06-02,0.84,1,180,1,City registration pending
36604109,Convenient Mission Studio w/ Comforts of Home!,4430421,Landmark,,Mission,37.76531,-122.41882,Entire home/apt,79,30,1,2024-07-16,0.59,140,117,1,
36629409,"Blueground | SoMa, gym & patio, nr Civic Center",107434423,Blueground,,South of Market,37.77368,-122.40925,Entire home/apt,201,31,1,2024-03-19,0.18,173,272,1,
36631938,Mission District 1x1 w/ Character & Charm,4430421,Landmark,,Mission,37.76436,-122.41881,Entire home/apt,96,30,1,2020-01-15,0.02,140,117,0,
36683638,4 Bedroom Home by the Beach (WH),37952450,Maite & Roger,,Outer Sunset,37.76045,-122.50501,Entire home/apt,700,30,5,2020-01-13,0.08,1,150,0,Pending Application
36700536,Bernalhouse143  Room 2  The Audrey Hepburn room.,275853781,Susan Marie,,Bernal Heights,37.73416,-122.42259,Private room,80,2,23,2024-06-23,0.37,2,179,3,2022-010844STR
36703566,BernalHouse143 Room 1,275853781,Susan Marie,,Bernal Heights,37.73631,-122.42254,Private room,125,2,18,2024-08-18,0.29,2,88,2,1082185
36778591,"Blueground | S. Park, cafe, nr Caltrain",107434423,Blueground,,South of Market,37.7802473,-122.3958055,Entire home/apt,180,31,1,2019-11-10,0.02,173,0,0,
36804819,Cozy Sunset Ocean Studio,875931,Nick,,Outer Sunset,37.75142,-122.49788,Entire home/apt,124,2,215,2024-08-25,3.51,2,8,18,2024-000948STR
36844711,"Union Square - Great Location, Hotel Style Suite",70722023,Michael,,Downtown/Civic Center,37.77792,-122.42032,Entire home/apt,99,1,14,2023-09-15,0.23,74,4,1,License not needed per OSTR
36856141,"Blueground | SoMa, gym, patio, bbq, nr bart",107434423,Blueground,,South of Market,37.77368,-122.40925,Entire home/apt,185,31,0,,,173,214,0,
36904149,Noe Valley Two Guest Rooms With Bath,881000,Sharon,,Noe Valley,37.74667,-122.42647,Entire home/apt,155,2,137,2024-09-02,2.25,1,279,33,0338051
36910851,#T15 Twin Size private room Nob Hill  @hacknsleep,267895362,Rocky,,Nob Hill,37.79117,-122.42067,Private room,47,365,1,2021-10-27,0.03,50,365,0,
36928742,31C- Cozy Room Fits 3 near Glen Park BART,313799073,Vikas,,Bernal Heights,37.73206,-122.42837,Private room,61,2,172,2024-08-03,2.76,2,14,27,STR-0006355
36944925,"Top Floor, 5 bedroom, Mission Dolores, near park",11820504,John,,Castro/Upper Market,37.76426,-122.42648,Entire home/apt,225,30,13,2024-02-10,0.21,7,331,2,
